Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
THRY,"Thryv Holdings, Inc.",17.38,USD,1.0465116279069753,147027,0.5635664830748367,630946797,USD,,-7.7952,USD,-1774.7474747474748,0,Commercial services,Strong buy
MDV/PA,"Modiv Industrial, Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock",24.73,USD,0.0695995597423157,5542,0.705942296669002,160399204,USD,,-0.971,USD,-1624.6891651865005,6.75255,Finance,
MDV,"Modiv Industrial, Inc.",17.03,USD,-0.23432923257175833,14572,0.2800487375513609,160399204,USD,,-0.971,USD,-1624.6891651865005,6.75255,Finance,Strong buy
KIDS,OrthoPediatrics Corp.,26.46,USD,1.1467889908256907,165034,1.0603715418930737,640713691.0000001,USD,,-1.0981,USD,-1440.781440781441,0,Health technology,Strong buy
CART,Maplebear Inc.,39.9,USD,1.1150532184490567,1440304,0.22884785838451466,10258475719,USD,,-5.969,USD,-1305.3715670436188,0,Transportation,Buy
VFC,V.F. Corporation,19.57,USD,1.6623376623376638,4971280,0.6083133035239485,7616318033,USD,,-3.0124,USD,-1100.4649618067087,2.91262,Consumer non-durables,Neutral
NTCT,"NetScout Systems, Inc.",21.38,USD,2.4436990896022905,392233,0.49286629154848144,1524774882.0000002,USD,,-8.2299,USD,-1062.786616752457,0,Technology services,Neutral
CVR,Chicago Rivet & Machine Co.,18.0177,USD,-5.219884271436087,1110,0.4762517698545502,17407478.000000004,USD,,-3.1702,USD,-923.8565488565488,2.22004,Producer manufacturing,
STER,Sterling Check Corp.,16.67,USD,0.24052916416117076,97276,0.2925243835474731,1633484369.0000002,USD,,-0.1678,USD,-876.851851851852,0,Technology services,Neutral
MATV,"Mativ Holdings, Inc.",17.21,USD,-0.577700751010964,352986,0.7978051126644945,934967352.0000001,USD,,-5.9834,USD,-869.9140865618414,2.32423,Process industries,Strong buy
EDR,"Endeavor Group Holdings, Inc.",28.55,USD,0.8477569763334583,2833483,0.6167845239726003,19538794230,USD,,-1.3579,USD,-868.5449358059916,0.84063,Consumer services,Neutral
DOGZ,Dogness (International) Corporation,27.4,USD,3.82720727548313,110507,1.2499038596395982,348820025.99999994,USD,,-0.4072,USD,-779.7996661101837,0,Consumer non-durables,
APG,APi Group Corporation,33.64,USD,-0.913107511045662,2323243,0.8792158684022281,9375319382,USD,,-2.0172,USD,-776.0053619302948,0,Industrial services,Buy
TECX,"Tectonic Therapeutic, Inc.",30.6,USD,7.067879636109178,236006,1.069467391590031,450875062,USD,,-14.3391,USD,-757.5503857424795,0,Commercial services,Strong buy
NVST,Envista Holdings Corporation,19.76,USD,2.649350649350658,1981024,0.9223006714044071,3397643032.9999995,USD,,-7.6988,USD,-720.4206624224354,0,Health technology,Neutral
XPRO,Expro Group Holdings N.V.,17.03,USD,3.212121212121219,1255072,0.5460800273311516,2061505282.0000002,USD,,-0.1304,USD,-700,0,Energy minerals,Buy
CNFRZ,"Conifer Holdings, Inc. - 9.75% Senior Unsecured Notes due 2028",18.59,USD,-16.486972147349512,6041,2.200648428108266,11856195,USD,,-2.1306,USD,-688.5270170244263,0,Finance,
SATS,EchoStar Corporation,28.04,USD,8.850931677018623,3401558,1.9180071154792573,7617930889,USD,,-7.9174,USD,-688.3043542874126,0,Communications,Neutral
LE,"Lands' End, Inc.",17.11,USD,1.603325415676957,118481,0.9900585523440575,533704985,USD,,-4.1707,USD,-668.650939918909,0,Retail trade,Strong buy
MRNA,"Moderna, Inc.",65.75,USD,2.8468637572344755,4738580,0.719389248004759,25274038749.999996,USD,,-15.3848,USD,-665.2435888015284,0,Health technology,Neutral
WACLY,Wacoal Holdings Corp.,148.88,USD,4.240913578345216,131,0.20424072341752417,1770619417.074882,USD,,-5.1522,USD,-641.3237410071943,1.84579,Consumer non-durables,Neutral
BETR,Better Home & Finance Holding Company,18.3,USD,0.4390779363337094,15512,0.34890259427702575,276854013,USD,,-0.8862,USD,-638.3961117861483,0,Finance,
TPG,TPG Inc.,58.01,USD,0.3112571329759636,373392,0.3653305074240291,21163542382,USD,,-0.3407,USD,-634.8508634222919,3.01672,Finance,Buy
FWRD,Forward Air Corporation,35.43,USD,-0.253378378378388,448907,0.33510675622614017,981408062,USD,,-28.6305,USD,-606.528315906799,2.70957,Transportation,Neutral
NTGR,"NETGEAR, Inc.",19.86,USD,-0.2511300853842326,317227,0.6965387255304507,569559406,USD,,-5.1271,USD,-593.319810682894,0,Technology services,Neutral
QXO,"QXO, Inc.",15.73,USD,3.486842105263165,1113682,0.2727686316636914,6440336478,USD,,-3.263,USD,-562.1158476136525,0,Commercial services,
HHH,Howard Hughes Holdings Inc.,77.74,USD,0.9741524873360177,167888,0.817529394692837,3905379454.9999995,USD,,-10.9149,USD,-555.1288466349762,0,Finance,Strong buy
PRTC,PureTech Health plc,21.25,USD,2.7066215563073883,16415,2.333432840064253,494319674.9721,USD,,-3.0164,USD,-549.1069507208952,0,Health technology,Strong buy
ALTG/PA,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),25.505,USD,-0.25420414548299286,1749,0.4337905205982291,215432448,USD,,-0.641,USD,-532.523616734143,3.5023,Distribution services,
APELY,Alps Alpine Co Ltd.,22,USD,-0.24485354130769246,3728,0.41563074864819666,2328866751.0733023,USD,,-1.7609,USD,-522.0757430488973,1.34737,Electronic technology,Neutral
ZUMZ,Zumiez Inc.,22,USD,1.1959521619135307,262482,0.5750253630959122,421110996,USD,,-2.7545,USD,-519.9639882961964,0,Retail trade,Neutral
HURC,"Hurco Companies, Inc.",18.19,USD,-0.6010928961748602,26284,1.5917252572231406,117316306,USD,,-1.9618,USD,-486.5615763546798,3.51842,Producer manufacturing,
JBGS,JBG SMITH Properties,17.55,USD,-1.1267605633802777,596085,0.6246999431247794,1518243643,USD,,-1.5489,USD,-484.27008675971325,4.2735,Finance,Sell
TDS,"Telephone and Data Systems, Inc.",24.08,USD,2.2939677145284585,770767,0.7889544513860214,2552479992,USD,,-4.8079,USD,-467.2369042000944,2.49169,Communications,Neutral
TDS/PV,"Telephone and Data Systems, Inc. Depositary Shares, Each Representing a 1/1,000th Interest in a 6.000% Series VV Cumulative Redeemable Perpetual Preferred Stock",20.13,USD,0.14925373134327155,53914,0.988156201773454,2552479992,USD,,-4.8079,USD,-467.2369042000944,2.49169,Communications,
TDS/PU,"Telephone and Data Systems, Inc. Depositary Shares, Each Representing a 1/1,000th Interest in a 6.625% Series UU Cumulative Redeemable Perpetual Preferred Stock",21.92,USD,0.0913242009132563,20796,0.9972139771076192,2552479992,USD,,-4.8079,USD,-467.2369042000944,2.49169,Communications,
RNAC,"Cartesian Therapeutics, Inc.",17,USD,-2.0737327188940062,65437,0.8178388018812142,406189943.00000006,USD,,-53.2572,USD,-459.71245704196474,0,Health technology,Strong buy
CRMT,"America's Car-Mart, Inc.",43.41,USD,-0.7771428571428649,86977,0.32582367154282715,351480217,USD,,-5.7282,USD,-446.7013678731389,0,Retail trade,Neutral
FTEL,Fitell Corporation,16.41,USD,-5.308713214079621,74321,0.2339466059941401,182479200,USD,,-0.3773,USD,-444.5662100456621,0,Retail trade,
SNBR,Sleep Number Corporation,17.75,USD,5.341246290801178,382249,0.6449309057435023,396801242,USD,,-1.7792,USD,-442.08805998846367,0,Consumer durables,Neutral
SDGR,"Schrodinger, Inc.",18.74,USD,-0.9513742071881779,426732,0.6395884398899396,1364207002,USD,,-2.7878,USD,-422.21451687471097,0,Technology services,Buy
SGH,"SMART Global Holdings, Inc.",21.3,USD,0.7092198581560385,796113,0.6174901919478143,1127084848,USD,,-0.0031,USD,-416.6666666666667,0,Electronic technology,Strong buy
KGHPF,KGHM Polska Miedz S.A.,42.85,USD,10.182566212393935,100,0.234192037470726,8570000159.819626,USD,,-3.74491855,USD,-409.1398205843885,0.917151,Non-energy minerals,Neutral
AZTA,"Azenta, Inc.",49.38,USD,0.40666937779585777,304025,0.39167001834771614,2415453502,USD,,-2.814,USD,-401.6042780748663,0,Health services,Neutral
LIVE,Live Ventures Incorporated,15,USD,-2.2164276401564527,787,0.059872495169118876,46974496,USD,,-3.6071,USD,-397.5909578417623,0,Consumer durables,
SLAB,"Silicon Laboratories, Inc.",116.53,USD,-1.1452324397692522,157390,0.5707708325551523,3762652860.0000005,USD,,-6.1976,USD,-393.34974203625694,0,Electronic technology,Buy
MXL,"MaxLinear, Inc",15.2,USD,-0.6535947712418394,764158,0.8153320729596932,1275252870.9999998,USD,,-2.31,USD,-390.52949314551626,0,Electronic technology,Buy
BWMN,Bowman Consulting Group Ltd.,23.82,USD,1.4912654452492604,41563,0.37318538684212416,433644183.00000006,USD,,-0.7563,USD,-386.3687996970844,0,Industrial services,Strong buy
INTG,The Intergroup Corporation,15.26,USD,4.021813224267211,3656,0.3547103909964102,33376888,USD,,-6.3521,USD,-383.2699330493001,0,Consumer services,
MRCY,Mercury Systems Inc,37.5,USD,1.433594806599949,357599,0.7249027074867496,2231250572,USD,,-2.395,USD,-374.44532488114106,0,Electronic technology,Neutral
BTAFF,British American Tobacco p.l.c.,36.788,USD,-0.6787366965987673,1378,0.5195294827326195,81257128952.1491,USD,,-7.86824462,USD,-374.1739624100437,8.4066,Consumer non-durables,Buy
MMI,"Marcus & Millichap, Inc.",39.56,USD,-1.3712291199202122,58986,0.5408686578413852,1532132124,USD,,-0.9086,USD,-355.9436619718309,1.2639,Finance,Strong sell
NGVT,Ingevity Corporation,40.42,USD,-0.07416563658838352,220997,0.6432332543882348,1469069200,USD,,-11.8861,USD,-352.28382221844885,0,Process industries,Buy
FL,"Foot Locker, Inc.",26.41,USD,0.26575550493546046,2253715,0.7099239538755677,2505039423,USD,,-3.8769,USD,-351.8448746264778,6.05831,Retail trade,Neutral
PARAA,Paramount Global,21.78,USD,-0.04589261128957325,101214,1.579486987420471,7641171301.999999,USD,,-8.458,USD,-350.70872855163594,0.918274,Consumer services,Neutral
CTLT,"Catalent, Inc.",60.33,USD,0.06634599436058906,1584059,0.7764508674407554,10947705314,USD,,-5.7545,USD,-348.9389920424403,0,Health technology,Neutral
DRUNF,Dream Unlimited Corp.,24.46,USD,1.9166666666666703,1024,0.6999794927882972,1027715808.279505,USD,,-0.09542942,USD,-348.03354958102017,1.66013,Finance,Strong buy
KRUS,"Kura Sushi USA, Inc.",82.38,USD,-0.09701673538685217,73025,0.48632755267854766,926354182,USD,,-0.0684,USD,-346.9314079422383,0,Consumer services,Buy
BTI,"British American Tobacco Industries, p.l.c.",36.84,USD,-2.591221575885766,6567713,1.4168848537451189,81938988205.75859,USD,,-7.7744,USD,-346.1265710577136,7.88351,Consumer non-durables,Buy
ATEX,Anterix Inc.,38.28,USD,0.07843137254902258,115962,0.33466763251841997,711809030.9999999,USD,,-1.2231,USD,-343.79535558780844,0,Communications,Strong buy
NGNE,Neurogene Inc.,40.33,USD,2.935171005615106,93110,0.7354259522980185,524032446.00000006,USD,,-3.7091,USD,-338.790961788714,0,Health technology,Strong buy
JSGRY,LIXIL Corp.,24.7327,USD,0.2948094079480985,2045,1.2554484621523727,3529869346.954962,USD,,-1.2439,USD,-329.67134416543576,4.10237,Producer manufacturing,
PEB/PG,Pebblebrook Hotel Trust 6.375% Series G Cumulative Redeemable Preferred Shares of Beneficial Interest,22.4,USD,-0.5328596802841963,4227,0.32603916789435927,1632822474,USD,,-1.11,USD,-325.1244733818461,0.295203,Finance,
PEB/PF,Pebblebrook Hotel Trust 6.3% Series F Cumulative Redeemable Preferred Shares of Beneficial Interest,22.8,USD,-0.653594771241824,4831,0.530232353941895,1632822474,USD,,-1.11,USD,-325.1244733818461,0.295203,Finance,
PEB/PE,Pebblebrook Hotel Trust 6.375% Series E Cumulative Redeemable Preferred Shares of Beneficial Interest,22.6,USD,-0.48436811977102345,2477,0.18002369306578098,1632822474,USD,,-1.11,USD,-325.1244733818461,0.295203,Finance,
PEB/PH,Pebblebrook Hotel Trust 5.700% Series H Cumulative Redeemable Preferred Shares of Beneficial Interest,20.485,USD,0.5152109911678137,974,0.09203961294224373,1632822474,USD,,-1.11,USD,-325.1244733818461,0.295203,Finance,
LITE,Lumentum Holdings Inc.,64.53,USD,-0.32437442075995326,2313560,1.3373759751073588,4388039916.999999,USD,,-8.0984,USD,-320.8491399469938,0,Producer manufacturing,Buy
DNNGY,Orsted A/S,22.29,USD,0.5412719891745487,36139,0.7401073943157196,28228556524.927498,USD,,-2.614,USD,-317.32623877618886,0,Utilities,Buy
BWSN,"Babcock & Wilcox Enterprises, Inc. 8.125% Senior Notes due 2026",23.5,USD,-1.2605042016806753,11763,1.1149763033175355,175172280,USD,,-2.0896,USD,-315.75805809789085,0,Electronic technology,
BWNB,"Babcock & Wilcox Enterprises, Inc. 6.50% Senior Notes due 2026",21.44,USD,0.8941176470588296,8085,0.8514290528444155,175172280,USD,,-2.0896,USD,-315.75805809789085,0,Electronic technology,
MANU,Manchester,16.48,USD,-0.0606428138265495,219027,1.0437864476033758,2790356755,USD,,-0.8643,USD,-312.1602288984263,0,Consumer services,Buy
ZIMV,ZimVie Inc.,15.76,USD,1.0904425914047462,140850,0.6384685819968632,434531638,USD,,-12.9915,USD,-311.123417721519,0,Health technology,Neutral
OR,Osisko Gold Royalties Ltd,18.45,USD,-2.8436018957345928,542744,0.712338562150865,3435928479.285427,USD,,-0.36717675,USD,-307.3769124276337,0.983541,Non-energy minerals,Strong buy
VTR,"Ventas, Inc.",63.84,USD,0.015666614444626532,3311875,0.9463369818877353,27204919263,USD,,-0.3903,USD,-305.63751317175974,2.81955,Finance,Buy
HAS,"Hasbro, Inc.",72.1,USD,0.15279899986109102,836959,0.6747586853637995,10051253121.000002,USD,,-7.4649,USD,-303.1376572878976,2.91262,Consumer durables,Buy
DOGEF,Orsted A/S,67.1668,USD,2.654439859391698,11,0.008590394377196407,28214639664.036858,USD,,-7.7064017300000005,USD,-300.1208185284497,0,Utilities,Buy
IPI,"Intrepid Potash, Inc",23.93,USD,-1.7651888341543502,47425,0.7435436734898655,317825223,USD,,-3.7863,USD,-293.2574520212331,0,Non-energy minerals,Strong sell
MCS,Marcus Corporation (The),15.13,USD,-0.9816753926701479,431284,1.0900724408191038,476218988,USD,,-0.7528,USD,-291.2681912681913,1.85063,Consumer services,Strong buy
GNL/PA,"Global Net Lease, Inc. 7.25% Series A Cumulative Redeemable Preferred Stock, $0.01 par value per share",22.9075,USD,0.03275109170305801,9559,0.2280829010598852,1968210544,USD,,-1.7264,USD,-287.780772686433,14.7307,Finance,
GNL/PB,"Global Net Lease, Inc. 6.875% Series B Cumulative Redeemable Perpetual Preferred Stock",23.0657,USD,0.46036585365853133,3194,0.43332564544356866,1968210544,USD,,-1.7264,USD,-287.780772686433,14.7307,Finance,
GNL/PD,"Global Net Lease, Inc. 7.50% Series D Cumulative Redeemable Perpetual Preferred Stock",24.07,USD,-0.4549214226633558,5581,0.464035386751586,1968210544,USD,,-1.7264,USD,-287.780772686433,14.7307,Finance,
GNL/PE,"Global Net Lease, Inc. 7.375% Series E Cumulative Redeemable Perpetual Preferred Stock",23.1654,USD,-0.1060802069857676,2023,0.30303030303030304,1968210544,USD,,-1.7264,USD,-287.780772686433,14.7307,Finance,
PENN,"PENN Entertainment, Inc.",19.28,USD,1.2605042016806827,2566494,0.6673791461692724,2942045261,USD,,-8.1013,USD,-286.63149649834133,0,Consumer services,Buy
RXO,"RXO, Inc.",27.53,USD,1.0275229357798206,4826052,2.619750370769937,4344822297,USD,,-0.1793,USD,-275.09765625,0,Technology services,Neutral
BAND,Bandwidth Inc.,17.32,USD,1.0501750291715268,203888,1.1272695305826486,472809900,USD,,-0.8346,USD,-274.42799461641994,0,Technology services,Neutral
SEDG,"SolarEdge Technologies, Inc.",23.12,USD,6.987505784359101,3966484,0.98339285365419,1324762272,USD,,-8.9933,USD,-274.26849591132816,0,Producer manufacturing,Neutral
CDMGF,Icade SA,31,USD,34.141064474253575,1000,1.0235414534288638,2301208860.3316,USD,,-13.483687008,USD,-273.2716561700637,17.768,Finance,Buy
PWP,Perella Weinberg Partners,19.26,USD,0.1560062402496159,306816,0.9377214861804849,1653263298.9999998,USD,,-2.8796,USD,-266.26812515899263,1.45379,Finance,Buy
YPF,YPF Sociedad Anonima,21.68,USD,-1.7225747960108748,1681433,1.226766298310818,10878834445.93669,USD,,-7.1579,USD,-256.48419395741325,0,Energy minerals,Buy
ICHR,Ichor Holdings,31.86,USD,0.18867924528301483,326428,0.7560241082448428,1073294830.0000001,USD,,-1.2124,USD,-255.7353885677585,0,Producer manufacturing,Strong buy
ZIM,ZIM Integrated Shipping Services Ltd.,24.24,USD,3.0612244897959133,7431158,1.3587505772418742,2917404514,USD,,-16.3055,USD,-250.78976085227586,4.78548,Transportation,Neutral
TXO,"TXO Partners, L.P.",19.08,USD,3.1909140075716595,78584,1.148576556667339,732926408.0000001,USD,,-5.6091,USD,-248.56968798008157,12.1593,Energy minerals,Buy
DWHHF,Deutsche Wohnen SE,28.65,USD,51.347068145800314,700,0.8849557522123894,11372245046.636007,USD,,-4.135915656,USD,-245.57212515488965,0.156556,Finance,Sell
NGL/PC,NGL ENERGY PARTNERS LP 9.625%,24.0489,USD,-0.37696925007974796,14480,0.8026385078018902,598957725,USD,,-2.1717,USD,-241.7847025495751,0,Industrial services,
NGL/PB,NGL ENERGY PARTNERS LP 9.00%,24.15,USD,1.0460251046025106,25768,0.667999139336719,598957725,USD,,-2.1717,USD,-241.7847025495751,0,Industrial services,
RBRK,"Rubrik, Inc.",31.96,USD,0.6931316950220618,2537966,0.7344454707590856,5805636434,USD,,-6.1655,USD,-239.5847102886098,0,Technology services,Strong buy
HNGKY,Hongkong Land Holdings Ltd.,19.09,USD,3.9760348583878025,670,0.27799676361976683,8142434665,USD,,-2.4513,USD,-238.84451996601527,5.31168,Finance,
UBLXF,U-Blox Holding AG,87.15,USD,-3.1451433651922627,12,0.1430274135876043,628340840.458704,USD,,-12.28023692,USD,-238.66761887838263,1.27065,Electronic technology,Neutral
RDDT,"Reddit, Inc.",67.08,USD,0.8418520745640444,3922269,0.866447493900712,11126965780,USD,,-3.5132,USD,-238.55642285824413,0,Technology services,Buy
ANIK,Anika Therapeutics Inc.,24.56,USD,-0.284206252537557,53222,0.6751935938943073,363407565,USD,,-5.0636,USD,-234.4296942077802,0,Health technology,Strong buy
FLGT,"Fulgent Genetics, Inc.",21.16,USD,1.1956001912960306,106926,0.6905174134044046,641077794,USD,,-5.4828,USD,-233.34143968871595,0,Health services,Neutral
CLDT/PA,Chatham Lodging Trust (REIT) 6.625% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,23.51,USD,1.5112262521589008,3078,0.30275906162396105,422092876,USD,,-0.1656,USD,-228.47168347556246,3.2445,Finance,
TFPM,Triple Flag Precious Metals Corp.,16.46,USD,-5.293440736478701,244620,0.8765181497161223,3316388722.711391,USD,,-0.44945356999999997,USD,-228.20662927837913,1.29754,Non-energy minerals,Strong buy
HR,Healthcare Realty Trust Incorporated,18.18,USD,0.6644518272425305,2145755,0.5301711986325655,6599889927,USD,,-1.5063,USD,-225.40505508749195,6.82068,Finance,Neutral
NARI,"Inari Medical, Inc.",41.2,USD,1.2782694198623479,689061,0.7885480910528772,2400589844,USD,,-0.9839,USD,-224.9339498018494,0,Health technology,Buy
HI,Hillenbrand Inc,27.8,USD,1.9809244314013172,613300,0.9480725821984958,1952291385,USD,,-2.9676,USD,-224.63670726585468,3.19245,Producer manufacturing,Strong buy
NATL,NCR Atleos Corporation,28.74,USD,0.7007708479327236,235512,0.6750403713765364,2078531372.9999995,USD,,-2.8202,USD,-224.4462095137234,0,Electronic technology,Buy
ONEW,OneWater Marine Inc.,24.15,USD,2.287166454891991,76078,0.7948853508641784,387772096.99999994,USD,,-6.6642,USD,-223.6653120302845,0,Retail trade,Buy
BLCO,Bausch + Lomb Corporation,18.95,USD,-0.47268907563025137,133423,0.08614619316897097,6668418407.000001,USD,,-1.2982,USD,-222.3739756642662,0,Health technology,Buy
HTFC,Horizon Technology Finance Corporation 6.25% Notes due 2027,24.18,USD,-0.12391573729864161,346,0.1556455240665767,,,,-0.689,USD,-219.78442280945757,12.3596,Finance,
HTFB,Horizon Technology Finance Corporation 4.875% Notes due 2026,24.3001,USD,-0.49099099099099597,636,0.8327877438784863,,,,-0.689,USD,-219.78442280945757,12.3596,Finance,
GDS,GDS Holdings Limited,20.83,USD,4.202101050525262,2272347,1.0884492976718165,3841754655.44922,USD,,-3.1726,USD,-215.27377521613835,0,Technology services,Strong buy
EXTR,"Extreme Networks, Inc.",15.1,USD,0.06626905235254996,855675,0.6839964690458374,1968093212.0000002,USD,,-0.6697,USD,-214.32229429839538,0,Electronic technology,Buy
CAE,CAE Inc.,18.49,USD,-0.0540540540540625,1043798,1.385201381435134,5893075776.958384,USD,,-0.7756380500000001,USD,-214.30263926524518,0,Commercial services,Buy
UNFI,"United Natural Foods, Inc.",16.73,USD,0,592496,0.9107905038573199,994934496.9999999,USD,,-2.4309,USD,-213.74760189041223,0,Distribution services,Neutral
NC,"NACCO Industries, Inc.",28.5,USD,5.555555555555555,21391,1.0107209850643306,209566368.00000003,USD,,-4.9711,USD,-213.4125752874612,3.08772,Energy minerals,
BIO,"Bio-Rad Laboratories, Inc.",331.77,USD,-0.09936766034328241,141663,0.18074027689956995,9256520920.000002,USD,,-47.0373,USD,-213.27916347530726,0,Health technology,Buy
HSON,"Hudson Global, Inc.",16.06,USD,0.12468827930174299,777,0.05069617527696945,44187257,USD,,-0.6976,USD,-212.42546333601933,0,Commercial services,
CTRN,"Citi Trends, Inc.",18.5,USD,0.16242555495398558,150533,0.7530385070995214,159383847,USD,,-2.669,USD,-210.75607934268405,0,Retail trade,Buy
FSNUF,Fresenius SE & Co. KGaA,37.35,USD,0.7227226147457005,233,0.11811223196634055,20824484259.65625,USD,,-2.12831544,USD,-208.57816843976855,2.7381,Health technology,Strong buy
GECFF,Gecina SA,114.54,USD,-7.606679035250457,6,0.13043478260869565,8674785769.7236,USD,,-15.817550376000002,USD,-208.3798222032538,5.03324,Finance,Buy
BRT,BRT Apartments Corp. (MD),17.84,USD,0.6772009029345428,11330,0.372572360589539,334806349,USD,,-0.5653,USD,-208.31576930446448,5.60538,Finance,Buy
AOSL,Alpha and Omega Semiconductor Limited,37.32,USD,-1.2698412698412618,152110,0.5550337632464093,1082786168,USD,,-0.3993,USD,-205.94322101353143,0,Electronic technology,Buy
TTWO,"Take-Two Interactive Software, Inc.",153.05,USD,0.8965653635704488,1370965,0.7559091578003133,26827029383,USD,,-22.2744,USD,-205.68570134628845,0,Technology services,Buy
OCINF,OCI N.V.,29.26,USD,0.023929169657817828,415,0.1048906862125616,6167892863.1543255,USD,,-1.0353445920000002,USD,-202.1208180759142,16.9525,Process industries,Buy
CG,The Carlyle Group Inc.,43.59,USD,1.8695956999299002,1547552,0.6181395555240626,15534394286.000004,USD,,-1.1129,USD,-199.7400967915397,3.21175,Finance,Buy
SE,Sea Limited,94.31,USD,-0.5483496783718191,3256058,0.6645685370733343,54166004658,USD,,-0.3558,USD,-196.31835408770982,0,Retail trade,Buy
B,"Barnes Group, Inc.",39.84,USD,0.8607594936708948,203936,0.41505967134053834,2022525607.9999998,USD,,-1.1592,USD,-194.0222240246573,1.60643,Producer manufacturing,Buy
NBR,Nabors Industries Ltd.,61.95,USD,1.607347876004599,477034,1.1576033833582957,519595221,USD,,-16.9675,USD,-189.1579611104484,0,Industrial services,Neutral
DLTR,"Dollar Tree, Inc.",73.12,USD,0.32930845225028693,3699614,0.8040231954902545,15720224878.000002,USD,,-4.8884,USD,-189.00622701285462,0,Retail trade,Buy
ARCT,Arcturus Therapeutics Holdings Inc.,22.03,USD,1.1943040881947706,371323,0.9086577756025939,595740694.9999999,USD,,-2.5685,USD,-188.81396957123098,0,Health technology,Strong buy
FNV,Franco-Nevada Corporation,125.51,USD,-2.524075799937858,647189,0.9975460135937992,24151474625.73238,USD,,-3.04314629,USD,-187.17342474680876,1.1208,Non-energy minerals,Buy
BMY,Bristol-Myers Squibb Company,50.91,USD,1.5762170790103736,23034664,1.8407388826460103,103214686350,USD,,-3.259,USD,-186.75859865828983,4.65527,Health technology,Neutral
KRG,Kite Realty Group Trust,26.25,USD,0.305693542223914,974210,0.6321085118422453,5766222897,USD,,-0.1114,USD,-186.15622583139984,3.77143,Finance,Buy
BAYZF,Bayer A.G.,33.958,USD,4.679408138101112,480,0.6366892160764027,33361156897.687603,USD,,-1.380352344,USD,-185.86194025824733,0.362021,Health technology,Neutral
SOHOO,Sotherly Hotels Inc. - 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,18.44,USD,1.5977961432507035,3209,2.569049715795373,48782047,USD,,-0.2488,USD,-182.63035536366655,0,Finance,
