Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Index
SOU.l,SOUND ENERGY PLC ORD GBP0.01,0.7248,GBX,0.6666666666666700,36719,0.007941702853009000,14710483,GBP,,-0.0742,GBP,-827.4509803921570,0,Energy minerals,Strong buy,FTSE AIM All-Share
PRM.l,PROTEOME SCIENCES PLC ORD GBP0.01,3.01,GBX,3.4364261168384800,0,0,8884980,GBP,,-0.0138,GBP,-826.315789473684,0,Health technology,,FTSE AIM All-Share
ASC.l,ASOS PLC ORD GBP0.035,428.02,GBX,-0.46046511627907400,9867,0.042081622225852100,512119879.00000000,GBP,,-2.0843,GBP,-807.741935483871,0,Retail trade,Neutral,FTSE All-Share
PREM.l,PREMIER AFRICAN MINERALS LTD ORD NPV (DI),0.052,GBX,-4.587155963302760,46574374,0.25925272180330100,18683520,GBP,,-0.0007,GBP,-800,0,Non-energy minerals,,FTSE AIM All-Share
AXS.l,ACCSYS TECHNOLOGIES PLC EUR0.05,49.6,GBX,0,42,0.00030847513396634400,118882183,GBP,,-0.0691,GBP,-797.9797979797980,0,Process industries,Buy,FTSE AIM All-Share
VCP.l,VICTORIA PLC ORD GBP0.05,136.784,GBX,-0.881159420289861,722,0.0037328731179882600,157213703,GBP,,-0.9456,GBP,-791.234684260132,0,Consumer durables,Strong buy,"FTSE AIM All-Share, FTSE AIM 100, FTSE AIM UK 50"
KDNC.l,CADENCE MINERALS PLC ORD GBP0.01,2.59,GBX,1.5686274509803900,53592,0.1269375973047320,5804762,GBP,,-0.0177,GBP,-785.0000000000000,0,Non-energy minerals,,FTSE AIM All-Share
MIND.l,MIND GYM PLC ORD GBP0.00001,21.5,GBX,0,0,0,21553434,GBP,,-0.1087,GBP,-779.375,0,Commercial services,,FTSE AIM All-Share
TRAK.l,TRAKM8 HLDGS ORD GBP0.01,7.455,GBX,10.444444444444400,3353,0.14954930042327000,3373313,GBP,,-0.0242,GBP,-754.0540540540540,0,Technology services,,FTSE AIM All-Share
FDP.l,FD TECHNOLOGIES PLC ORD GBP0.005,1606,GBX,1.0062893081761000,306,0.009422226601470610,448692277,GBP,,-1.4521,GBP,-733.5514834205930,0,Technology services,Strong buy,"FTSE AIM All-Share, FTSE AIM 100, FTSE AIM UK 50"
CPP.l,CPPGROUP PLC ORD GBP1,132.4,GBX,0.6844106463878370,30,0.00742151745293521,12051717,GBP,,-0.461,GBP,-713.0511463844800,0,Finance,Strong buy,FTSE AIM All-Share
EVOK.l,EVOKE PLC ORD GBP0.005 (DI),64.2,GBX,-1.5337423312883400,34020,0.028073200581697800,292019021,GBP,,-0.3721,GBP,-678.6936236391910,0,Consumer services,Buy,FTSE All-Share
AMRQ.l,AMAROQ MINERALS LTD COM NPV (DI),69.91,GBX,2.0583941605839400,10088,0.039014761255031500,228130523.78710800,GBP,,-0.05565641857154160,GBP,-678.0465883512830,0,Non-energy minerals,Strong buy,"FTSE AIM All-Share, FTSE AIM 100"
SWG.l,SHEARWATER GROUP PLC ORD GBP0.10,38,GBX,0,610,0.08757070257544,9054024,GBP,,-0.0911,GBP,-640.650406504065,0,Technology services,,FTSE AIM All-Share
DKL.l,DEKEL AGRI-VISION PLC ORD EUR0.0003367 (DI),1.3,GBX,0,3015,0.025983293130327500,7280963,GBP,,-0.0085,GBP,-631.2500000000000,0,Consumer non-durables,,FTSE AIM All-Share
DELT.l,DELTIC ENERGY PLC ORD GBP0.1,5.5,GBX,2.8037383177570200,144855,0.10896772274573200,4980668,GBP,,-0.226,GBP,-604.0498442367600,0,Miscellaneous,Strong buy,FTSE AIM All-Share
FLO.l,FLOWTECH FLUIDPOWER PLC ORD GBP0.5,90.81,GBX,0.23178807947020700,18050,0.15181449866310700,56964907,GBP,,-0.2298,GBP,-596.3282937365010,2.42826,Distribution services,Strong buy,FTSE AIM All-Share
ATM.l,ANDRADA MINING LIMITED ORD NPV,3.5,GBX,1.4492753623188400,120618,0.1348493534904900,57045323,GBP,,-0.0054,GBP,-575,0,Non-energy minerals,Strong buy,FTSE AIM All-Share
MAI.l,MAINTEL HLDGS ORD GBP0.01,222,GBX,-3.4782608695652200,95,0.014475308171692400,33031431.000000000,GBP,,-0.1764,GBP,-569.1489361702130,0,Technology services,,FTSE AIM All-Share
APH.l,ALLIANCE PHARMA PLC ORD GBP0.01,40.696,GBX,-1.9373493975903700,274473,0.24155338062788900,224334699,GBP,,-0.0613,GBP,-554.0740740740740,0,Health technology,Buy,"FTSE AIM All-Share, FTSE AIM 100, FTSE AIM UK 50"
PRTC.l,PURETECH HEALTH PLC ORD GBP0.01,149.8,GBX,-2.97927461139896,351218,0.2889022949939390,369640077,GBP,,-0.2405,GBP,-529.5811518324610,0,Health technology,Strong buy,"FTSE 250, FTSE All-Share, FTSE 350"
NCYT.l,NOVACYT EUR0.0667 (CDI),62,GBX,0.4862236628849220,41510,0.1906379367197780,44090196.40454650,GBP,,-0.5256053531598510,GBP,-527.9983383309530,0,Health technology,,FTSE AIM All-Share
BRH.l,BRAVEHEART INVESTMENT GROUP ORD GBP0.02,4.35,GBX,-3.333333333333340,28915,1.5261957795395300,2771972,GBP,,-0.1138,GBP,-524.6268656716420,0,Finance,,FTSE AIM All-Share
AAZ.l,ANGLO ASIAN MINING ORD GBP0.01,87.95,GBX,-0.6214689265536690,25350,0.5349692630086170,101104186,GBP,,-0.2033,GBP,-524.4258872651360,0,Non-energy minerals,,FTSE AIM All-Share
TGP.l,TEKMAR GROUP PLC ORD GBP0.01,8.73,GBX,-0.22857142857142400,11317,0.30451184466855400,12011124,GBP,,-0.0836,GBP,-522.2222222222220,0,Producer manufacturing,,FTSE AIM All-Share
DGI9.l,DIGITAL 9 INFRASTRUCTURE PLC ORD NPV,17.875,GBX,1.5624999999999900,291409,0.08293788212790520,152271000,GBP,,-0.2743,GBP,-517.5038051750380,8.52273,Miscellaneous,Neutral,FTSE All-Share
BOD.l,BOTSWANA DIAMONDS PLC ORD GBP0.0025,0.294,GBX,3.157894736842110,65476,0.14881531409495300,3414308,GBP,,-0.0036,GBP,-500.0000000000000,0,Non-energy minerals,,FTSE AIM All-Share
GUN.l,GUNSYND PLC ORD GBP0.00085,0.112,GBX,-6.666666666666660,4090096,8.448148690536710,1127694,GBP,,-0.004,GBP,-500,0,Health technology,,FTSE AIM All-Share
WJG.l,WATKIN JONES PLC ORD GBP0.01,25.5512,GBX,-1.5368015414258100,54246,0.06873568085843190,66601480.00000000,GBP,,-0.1185,GBP,-488.52459016393400,0,Consumer durables,Buy,FTSE AIM All-Share
TERN.l,TERN PLC ORD GBP0.0002,1.2084,GBX,12.409302325581400,5898298,2.860165809468470,4775407,GBP,,-0.0311,GBP,-465.8823529411760,0,Finance,,FTSE AIM All-Share
PMP.l,PORTMEIRION GROUP ORD GBP0.05,225.7,GBX,0.31111111111110600,3769,0.1777922439371850,30958385,GBP,,-0.7981,GBP,-455.8181007579140,2.44444,Consumer durables,Strong buy,FTSE AIM All-Share
PIP.l,PIPEHAWK ORD GBP0.01,1.65,GBX,0,0,0,599162,GBP,,-0.0409,GBP,-449.5726495726500,0,Electronic technology,,FTSE AIM All-Share
OXB.l,OXFORD BIOMEDICA ORD GBP0.50,381.9,GBX,0.1048492791612000,32956,0.17122588401675300,401878088,GBP,,-1.443,GBP,-445.5576559546310,0,Health technology,Strong buy,FTSE All-Share
OMI.l,OROSUR MINING INC COM NPV,3.5,GBX,7.6923076923076900,59685,0.2046337712065180,7730517.227248940,GBP,,-0.01207366077794500,GBP,-435.4526961686250,0,Non-energy minerals,,FTSE AIM All-Share
KIST.l,KISTOS HOLDINGS PLC ORD GBP0.1,111.25,GBX,-1.5486725663716800,42864,0.2837367676885360,93636025,GBP,,-0.558,GBP,-431.353919239905,0,Energy minerals,Strong buy,FTSE AIM All-Share
RBGP.l,RBG HOLDINGS PLC ORD GBP0.002,3.327,GBX,-44.08403361344540,1687827,13.28491346604920,7656393,GBP,,-0.25,GBP,-428.94736842105300,0,Commercial services,Neutral,FTSE AIM All-Share
MMAG.l,MUSICMAGPIE PLC ORD GBP0.01,5.75,GBX,0,81356,0.7660070484399000,6198977,GBP,,-0.0699,GBP,-423.6111111111110,0,Retail trade,,FTSE AIM All-Share
HFEL.l,HENDERSON FAR EAST INCOME LTD ORD SHS NPV,236.9469,GBX,0.8284680851063830,180244,0.6023010168449400,381363000,GBP,,-0.068,GBP,-411.2781954887220,10.383,Miscellaneous,,FTSE All-Share
BBB.l,BIGBLU BROADBAND PLC ORD GBP0.15,28.18,GBX,-4.474576271186440,611,0.008934041622983440,17359870,GBP,,-0.0706,GBP,-411.0132158590310,0,Communications,,FTSE AIM All-Share
QUIZ.l,QUIZ PLC ORD GBP0.003,4.5,GBX,-7.0247933884297500,341538,6.235232905222230,6012776,GBP,,-0.0505,GBP,-406.06060606060600,0,Consumer non-durables,Neutral,FTSE AIM All-Share
COG.l,CAMBRIDGE COGNITION HLDGS PLC ORD GBP0.01,37,GBX,0,3042,0.05100424029334980,15489990,GBP,,-0.0373,GBP,-405.7377049180330,0,Technology services,Strong buy,FTSE AIM All-Share
CCR.l,C&C GROUP ORD EUR0.01 (CDI),161.4,GBX,0,50731,0.07289796684350270,619929511,GBP,,-0.25,GBP,-403.76670716889400,3.08996,Consumer non-durables,Buy,"FTSE 250, FTSE All-Share, FTSE 350"
CRPR.l,CROPPER(JAMES) ORD GBP0.25,266,GBX,-5,145,0.02197602340067600,26753448,GBP,,-0.418,GBP,-394.1590429275160,2.5,Process industries,,FTSE AIM All-Share
GBG.l,GB GROUP PLC ORD GBP0.025,313.4,GBX,-1.3224181360201700,22454,0.0511049330803957,802229590,GBP,,-0.1924,GBP,-378.0346820809250,1.32242,Technology services,Strong buy,"FTSE AIM All-Share, FTSE AIM 100, FTSE AIM UK 50"
BLU.l,BLUE STAR CAPITAL ORD GBP0.001,0.01677,GBX,-16.150000000000000,3200000,1.0049776543218600,1018555.0000000000,GBP,,-0.0011,GBP,-375,0,Finance,,FTSE AIM All-Share
TLY.l,TOTALLY PLC ORD GBP0.1,9,GBX,-2.7027027027027000,46646,0.14423869298952200,18180579,GBP,,-0.016,GBP,-371.18644067796600,1.35135,Health services,Strong buy,FTSE AIM All-Share
BATS.l,BRITISH AMERICAN TOBACCO ORD GBP0.25,2721,GBX,-1.910598413842830,567219,0.14395914905125400,61271957082,GBP,,-6.2234,GBP,-363.9382501378350,8.4066,Consumer non-durables,Buy,"FTSE 100, STOXX Europe 600, FTSE All-Share, FTSE 350"
TON.l,TITON HLDGS ORD GBP0.10,61.8,GBX,-4.923076923076930,1296,0.15163747411281500,7311687,GBP,,-0.0872,GBP,-354.2274052478130,1.53846,Producer manufacturing,,FTSE AIM All-Share
RGL.l,REGIONAL REIT LTD ORD NPV,137.05,GBX,-0.25473071324599300,25758,0.037190442411485000,222709591,GBP,,-1.2041,GBP,-351.7984107068170,24.1638,Miscellaneous,Buy,FTSE All-Share
FDEV.l,FRONTIER DEVELOPMENTS PLC GBP0.005,244.5,GBX,0,8362,0.06239842160797200,94372778,GBP,,-0.5564,GBP,-334.6689160691690,0,Consumer durables,Strong buy,FTSE AIM All-Share
TMG.l,THE MISSION GROUP PLC ORD GBP0.10,22,GBX,0,17761,0.22403045431726300,20094866,GBP,,-0.1352,GBP,-326.8456375838930,0,Commercial services,Strong buy,FTSE AIM All-Share
ARGO.l,ARGO GROUP LTD ORD USD0.01,4,GBX,0,0,0,1558399,GBP,,-0.2581,GBP,-321.0440456769980,0,Finance,,FTSE AIM All-Share
HLCL.l,HELICAL PLC ORD GBP0.01,227.98,GBX,-0.00877192982456589,1327,0.010155959412898300,279831675,GBP,,-1.5463,GBP,-316.47767044659100,2.11842,Finance,Strong buy,FTSE All-Share
ENT.l,ENTAIN PLC ORD EUR0.01,778.4,GBX,-1.2934313974131400,107522,0.047526123853462400,5041529430,GBP,,-0.7368,GBP,-315.7540263543190,2.30789,Consumer services,Buy,"FTSE 100, STOXX Europe 600, FTSE All-Share, FTSE 350"
EMR.l,EMPRESARIA GROUP ORD GBP0.05,33.33,GBX,-3.3913043478260900,2100,0.054952819079618800,16718479.000000000,GBP,,-0.1216,GBP,-315.60283687943300,2.89855,Commercial services,Strong buy,FTSE AIM All-Share
IXI.l,IXICO PLC ORD GBP0.01,9.25,GBX,0,6730,0.5199882558373130,4472502,GBP,,-0.0386,GBP,-306.4171122994650,0,Commercial services,,FTSE AIM All-Share
SAGA.l,SAGA PLC ORD GBP0.15,109,GBX,-1.6245487364620900,31611,0.127360896566562,158835464,GBP,,-0.8055,GBP,-303.5571142284570,0,Consumer services,Buy,FTSE All-Share
TXP.l,TOUCHSTONE EXPLORATION INC COM NPV (DI),34.16,GBX,3.5151515151515000,717471,3.5250636011048800,78443183.30927990,GBP,,-0.04502217037095630,GBP,-302.9314606214800,0,Energy minerals,,FTSE AIM All-Share
EQT.l,EQTEC PLC ORD EUR0.01(CDI),0.954,GBX,-1.6494845360824800,70202,0.04599482029215320,4217315,GBP,,-0.1155,GBP,-290.2027027027030,0,Utilities,,FTSE AIM All-Share
GPE.l,GREAT PORTLAND ESTATES ORD GBP0.15263157894,356.5,GBX,-1.2465373961218800,20543,0.017174969574060300,1461216960,GBP,,-1.0103,GBP,-284.1261162748310,2.1615,Finance,Buy,"FTSE 250, FTSE All-Share, FTSE 350"
LINV.l,LENDINVEST PLC ORD GBP0.0005,27,GBX,-1.8181818181818200,17536,1.4490166914559600,38586375,GBP,,-0.1451,GBP,-283.20707070707100,16.3636,Finance,Buy,FTSE AIM All-Share
BMN.l,BUSHVELD MINERALS LTD ORD GBP0.01,0.426,GBX,-5.3333333333333400,2340927,0.37062771917581900,10399601,GBP,,-0.0661,GBP,-277.7142857142860,0,Non-energy minerals,Strong buy,FTSE AIM All-Share
IHC.l,INSPIRATION HEALTHCARE GROUP PLC ORD GBP0.1,21.1,GBX,-1.860465116279060,25000,1.80970581422284,19277626,GBP,,-0.0884,GBP,-269.3486590038310,2.86047,Health technology,Strong buy,FTSE AIM All-Share
CLI.l,CLS HLDGS ORD GBP0.025,94.8,GBX,1.7167381974248900,1154,0.0054227233725017,370386372,GBP,,-0.5204,GBP,-265.626989178867,8.53004,Finance,Strong buy,FTSE All-Share
SENX.l,SERINUS ENERGY PLC ORD NPV,4,GBX,17.647058823529400,658509,3.127662454552150,3906180,GBP,,-0.0816,GBP,-257.89473684210500,0,Energy minerals,,FTSE AIM All-Share
ETP.l,ENERAQUA TECHNOLOGIES PLC ORD GBP0.01,42.5,GBX,0,32867,4.219018767169010,14119406,GBP,,-0.1908,GBP,-256.1374795417350,0,Industrial services,Strong buy,FTSE AIM All-Share
ZYT.l,ZYTRONIC ORD GBP0.01,52.85,GBX,0.6666666666666690,11,0.0005305525946433480,5334912,GBP,,-0.1272,GBP,-255.31135531135500,0,Electronic technology,,FTSE AIM All-Share
WKP.l,WORKSPACE GROUP ORD GBP1,653,GBX,-1.2102874432677800,5920,0.026858413965286400,1267456128,GBP,,-1.0045,GBP,-247.5470035252640,4.23601,Finance,Buy,"FTSE 250, FTSE All-Share, FTSE 350"
BOOM.l,AUDIOBOOM GROUP PLC ORD NPV,220,GBX,1.1494252873563200,1149,0.02543768762785260,35619835,GBP,,-0.4947,GBP,-244.6491228070180,0,Technology services,,FTSE AIM All-Share
XAR.l,XAAR ORD GBP0.10,103.9135,GBX,0.8868932038834940,10300,0.06634148603640540,81525780,GBP,,-0.0439,GBP,-242.53246753246800,0,Producer manufacturing,Strong buy,FTSE All-Share
MFAI.l,MINDFLAIR PLC ORD GBP0.0025,0.85,GBX,6.249999999999990,636624,0.45723767892897500,2934053,GBP,,-0.0146,GBP,-240.38461538461500,0,Finance,,FTSE AIM All-Share
BELL.l,BELLUSCURA PLC ORD GBP0.01,13,GBX,4,4203,0.07812136971686350,21051029,GBP,,-0.1121,GBP,-235.62874251497000,0,Health technology,Strong buy,FTSE AIM All-Share
FCH.l,FUNDING CIRCLE HLDGS PLC ORD GBP0.001,134.5,GBX,3.065134099616860,554434,0.27478191019008600,409063518,GBP,,-0.1234,GBP,-235.60439560439600,0,Finance,Strong buy,FTSE All-Share
DLN.l,DERWENT LONDON ORD GBP0.05,2406,GBX,-1.5548281505728300,7820,0.045752211405640200,2744390431,GBP,,-3.2123,GBP,-235.05002942907600,3.25286,Finance,Buy,"STOXX Europe 600, FTSE 250, FTSE All-Share, FTSE 350"
ASLI.l,ABRDN EUROPEAN LOGISTICS INCOME PLC ORD GBP0.01,61.696,GBX,0.1558441558441500,151305,0.15756364871611200,253899396,GBP,,-0.1723,GBP,-230.43149129447400,5.97403,Finance,,FTSE All-Share
PEG.l,PETARDS GROUP ORD GBP0.01,9,GBX,-12.195121951219500,90000,1.6410809982878100,6222285,GBP,,-0.0186,GBP,-226.53061224489800,0,Electronic technology,,FTSE AIM All-Share
VID.l,VIDENDUM PLC ORD GBP0.20,247.68,GBX,1.0938775510204100,13248,0.06623089325217780,230763866,GBP,,-0.6905,GBP,-220.9705676243870,0,Electronic technology,Buy,FTSE All-Share
TTG.l,TT ELECTRONICS ORD GBP0.25,93,GBX,-0.8528784648187600,183200,0.06961302265102120,166294282,GBP,,-0.0723,GBP,-217.17990275526700,7.24947,Electronic technology,Buy,FTSE All-Share
CTG.l,CHRISTIE GROUP PLC ORD GBP0.02,95,GBX,0,51,0.00801596906778995,24878342,GBP,,-0.1486,GBP,-211.39430284857600,1.05263,Commercial services,,FTSE AIM All-Share
NCC.l,NCC GROUP ORD GBP0.01,176,GBX,-0.4524886877828120,33447,0.018959987946148100,554901597,GBP,,-0.0798,GBP,-207.69230769230800,2.63009,Technology services,Strong buy,FTSE All-Share
TRIN.l,TRINITY EXPLORATION & PRODUCTION ORD USD0.01,62.6,GBX,-0.31847133757961100,20340,0.1734757756516430,24368281,GBP,,-0.1406,GBP,-205.23952095808400,0.796178,Energy minerals,,FTSE AIM All-Share
CYAN.l,CYANCONNODE HOLDINGS PLC ORD GBP0.02,12,GBX,4.803493449781670,381671,0.26256825435874400,40009022,GBP,,-0.0141,GBP,-200.00000000000000,0,Electronic technology,Strong buy,FTSE AIM All-Share
CODE.l,NORTHCODERS GROUP PLC ORD GBP0.01,202,GBX,-2.8846153846153800,4639,2.418160967472890,16183167.000000000,GBP,,-0.0809,GBP,-199.62962962963000,0,Commercial services,,FTSE AIM All-Share
DLAR.l,DE LA RUE ORD GBP0.4486857,88,GBX,0.4566210045662170,150729,0.6808714200145820,171729601,GBP,,-0.1022,GBP,-197.7055449330780,0,Commercial services,Buy,FTSE All-Share
SCE.l,SURFACE TRANSFORMS PLC ORD GBP0.01,0.47,GBX,-67.58620689655170,116622749,26.362976123125700,18880053,GBP,,-0.0577,GBP,-197.4226804123710,0,Producer manufacturing,,FTSE AIM All-Share
AFN.l,ADVFN PLC ORD GBP0.002,19.38,GBX,-5.463414634146350,100,0.007263377325188670,9488469,GBP,,-0.0482,GBP,-197.37373737373700,0,Technology services,,FTSE AIM All-Share
DIAL.l,DIALES PLC ORD GBP0.004,26,GBX,0,0,0,13725310,GBP,,-0.0065,GBP,-197.01492537313400,5.76923,Industrial services,,FTSE AIM All-Share
RLE.l,REAL ESTATE INVESTORS ORD GBP0.10,33.59,GBX,1.7878787878788000,32005,0.6363354395396830,57546043,GBP,,-0.0681,GBP,-193.54395604395600,7.57576,Finance,Strong buy,FTSE AIM All-Share
CIC.l,CONYGAR INVESTMENT COMPANY ORD GBP0.05,72.5,GBX,0,5884,0.773355764681142,43237978,GBP,,-0.5214,GBP,-192.20159151193600,0,Miscellaneous,,FTSE AIM All-Share
SEE.l,SEEING MACHINES LTD ORD NPV (DI),4.8,GBX,0.9463722397476330,237163,0.13987099075427600,193621558,GBP,,-0.0058,GBP,-190.00000000000000,0,Producer manufacturing,Strong buy,"FTSE AIM All-Share, FTSE AIM 100"
SOS.l,SOSANDAR PLC ORD GBP0.001,10.5,GBX,0,75454,0.2613841575302530,26063783,GBP,,-0.0023,GBP,-187.5,0,Retail trade,Strong buy,FTSE AIM All-Share
CRU.l,CORAL PRODUCTS ORD GBP0.01,9,GBX,-2.7027027027027000,100405,0.7281782236237100,8012943,GBP,,-0.0102,GBP,-187.1794871794870,9.44445,Producer manufacturing,,FTSE AIM All-Share
VANQ.l,VANQUIS BANKING GROUP PLC ORD GBP0.207272,59.695,GBX,-1.1672185430463500,132205,0.14455686358896800,153189769,GBP,,-0.1233,GBP,-179.6511627906980,9.93378,Finance,Strong buy,FTSE All-Share
EMAN.l,EVERYMAN MEDIA GROUP PLC ORD GBP0.10,57,GBX,-5,187815,2.660287962379340,51973030,GBP,,-0.0246,GBP,-179.3548387096770,0,Consumer services,Strong buy,FTSE AIM All-Share
RWS.l,RWS HOLDINGS PLC ORD GBP0.01,167.8,GBX,-0.8274231678486860,279429,0.44688162096600900,623870750,GBP,,-0.0953,GBP,-175.39556962025300,7.23995,Commercial services,Strong buy,"FTSE AIM All-Share, FTSE AIM 100, FTSE AIM UK 50"
BRWM.l,BLACKROCK WORLD MINING TRUST PLC ORD GBP0.05,551.902,GBX,-0.017753623188397900,134437,0.1878744488820980,1055330000.0000000,GBP,,-0.0701,GBP,-172.9448491155050,6.06884,Miscellaneous,,"FTSE 250, FTSE All-Share, FTSE 350"
ARK.l,ARKLE RESOURCES PLC ORD EUR0.0025 (CDI),0.25,GBX,0,182691,1.0151203146305700,1412027,GBP,,-0.0008,GBP,-172.72727272727300,0,Non-energy minerals,,FTSE AIM All-Share
PNN.l,PENNON GROUP ORD GBP0.6105,589.339,GBX,-1.3658577405857600,51605,0.0404281870286822,1709053467,GBP,,-0.0356,GBP,-172.5050916496950,7.42594,Utilities,Buy,"STOXX Europe 600, FTSE 250, FTSE All-Share, FTSE 350"
GLR.l,GALILEO RESOURCES PLC ORD GBP0.001,1.1785,GBX,9.627906976744200,822576,0.6527369210153380,12504277,GBP,,-0.0009,GBP,-169.2307692307690,0,Non-energy minerals,,FTSE AIM All-Share
